"Status","Year","Ethnicity","Organisation","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","White","Submarine Delivery Agency","Communications","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Submarine Delivery Agency","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Submarine Delivery Agency","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Submarine Delivery Agency","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Submarine Delivery Agency","Project Delivery","Outside London","10","[c]","[c]","[c]"
"Leaver CS","2021","White","Submarine Delivery Agency","Science and Engineering","Outside London","15","[c]","[c]","[c]"
"Leaver CS","2021","White","Submarine Delivery Agency","Security","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","The National Archives","Commercial","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","The National Archives","Communications","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","The National Archives","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","The National Archives","Finance","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","The National Archives","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","The National Archives","Operational Delivery","London","10","[c]","[c]","[c]"
"Leaver CS","2021","White","The National Archives","Other","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Transport Scotland","Unknown","Outside London","15","[c]","[c]","[c]"
"Leaver CS","2021","White","UK Export Finance","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","UK Export Finance","Finance","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","UK Export Finance","Human Resources","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","UK Export Finance","Internal Audit","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","UK Export Finance","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","UK Export Finance","Legal","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","UK Export Finance","Operational Delivery","London","5","[c]","[c]","[c]"
"Leaver CS","2021","White","UK Export Finance","Project Delivery","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","UK Hydrographic Office","Digital, Data and Technology","Outside London","10","[c]","[c]","[c]"
"Leaver CS","2021","White","UK Hydrographic Office","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","UK Hydrographic Office","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","UK Hydrographic Office","Operational Delivery","Outside London","25","[c]","[c]","[c]"
"Leaver CS","2021","White","UK Intellectual Property Office","Communications","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","UK Intellectual Property Office","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","UK Intellectual Property Office","Operational Delivery","Outside London","10","[c]","[c]","[c]"
"Leaver CS","2021","White","UK Intellectual Property Office","Other","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","UK Intellectual Property Office","Policy","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","UK Intellectual Property Office","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","UK Intellectual Property Office","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","UK Space Agency","Policy","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","UK Space Agency","Unknown","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","UK Space Agency","Unknown","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","UK Supreme Court","Commercial","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","UK Supreme Court","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","UK Supreme Court","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","UK Supreme Court","Legal","London","10","[c]","[c]","[c]"
"Leaver CS","2021","White","UK Supreme Court","Operational Delivery","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","United Kingdom Statistics Authority","Commercial","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","United Kingdom Statistics Authority","Communications","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","United Kingdom Statistics Authority","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","United Kingdom Statistics Authority","Digital, Data and Technology","Outside London","15","[c]","[c]","[c]"
"Leaver CS","2021","White","United Kingdom Statistics Authority","Economics","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","United Kingdom Statistics Authority","Economics","Outside London","10","[c]","[c]","[c]"
"Leaver CS","2021","White","United Kingdom Statistics Authority","Finance","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","United Kingdom Statistics Authority","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","United Kingdom Statistics Authority","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","United Kingdom Statistics Authority","Operational Delivery","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","United Kingdom Statistics Authority","Operational Delivery","Outside London","105","[c]","24620","19520"
"Leaver CS","2021","White","United Kingdom Statistics Authority","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","United Kingdom Statistics Authority","Planning","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","United Kingdom Statistics Authority","Policy","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","United Kingdom Statistics Authority","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","United Kingdom Statistics Authority","Property","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","United Kingdom Statistics Authority","Security","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","United Kingdom Statistics Authority","Social Research","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","United Kingdom Statistics Authority","Social Research","Outside London","15","[c]","[c]","[c]"
"Leaver CS","2021","White","United Kingdom Statistics Authority","Statistics","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","United Kingdom Statistics Authority","Statistics","Outside London","10","[c]","[c]","[c]"
"Leaver CS","2021","White","Valuation Office Agency","Finance","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Valuation Office Agency","Human Resources","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Valuation Office Agency","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Valuation Office Agency","Operational Delivery","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Valuation Office Agency","Operational Delivery","Outside London","20","[c]","[c]","[c]"
"Leaver CS","2021","White","Valuation Office Agency","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Valuation Office Agency","Property","London","10","[c]","[c]","[c]"
"Leaver CS","2021","White","Valuation Office Agency","Property","Outside London","85","[c]","31970","26500"
"Leaver CS","2021","White","Vehicle Certification Agency","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Vehicle Certification Agency","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Vehicle Certification Agency","Science and Engineering","Outside London","5","[c]","[c]","[c]"
"Leaver CS","2021","White","Veterinary Medicines Directorate","Finance","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Veterinary Medicines Directorate","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Veterinary Medicines Directorate","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Veterinary Medicines Directorate","Unknown","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Veterinary Medicines Directorate","Veterinarian","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Wales Office","Communications","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Wales Office","Policy","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Water Services Regulation Authority","Communications","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Water Services Regulation Authority","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Water Services Regulation Authority","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Water Services Regulation Authority","Economics","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Water Services Regulation Authority","Economics","Outside London","5","[c]","[c]","[c]"
"Leaver CS","2021","White","Water Services Regulation Authority","Finance","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Water Services Regulation Authority","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Water Services Regulation Authority","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Water Services Regulation Authority","Legal","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Water Services Regulation Authority","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Water Services Regulation Authority","Policy","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Water Services Regulation Authority","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Water Services Regulation Authority","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Welsh Government (excl. agencies)","Communications","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Welsh Government (excl. agencies)","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Welsh Government (excl. agencies)","Economics","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Welsh Government (excl. agencies)","Finance","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Welsh Government (excl. agencies)","Human Resources","Outside London","10","[c]","[c]","[c]"
"Leaver CS","2021","White","Welsh Government (excl. agencies)","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Welsh Government (excl. agencies)","Legal","Outside London","5","[c]","[c]","[c]"
"Leaver CS","2021","White","Welsh Government (excl. agencies)","Medicine","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Welsh Government (excl. agencies)","Operational Delivery","Outside London","35","[c]","34300","28850"
"Leaver CS","2021","White","Welsh Government (excl. agencies)","Other","Outside London","15","[c]","[c]","[c]"
"Leaver CS","2021","White","Welsh Government (excl. agencies)","Planning","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Welsh Government (excl. agencies)","Policy","Outside London","35","[c]","46740","37410"
"Leaver CS","2021","White","Welsh Government (excl. agencies)","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Welsh Government (excl. agencies)","Property","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Welsh Government (excl. agencies)","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Welsh Government (excl. agencies)","Social Research","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Welsh Government (excl. agencies)","Statistics","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Welsh Revenue Authority","Legal","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Welsh Revenue Authority","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Wilton Park","Commercial","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Wilton Park","Communications","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Wilton Park","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Wilton Park","Finance","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Wilton Park","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Wilton Park","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Wilton Park","Policy","Outside London","[c]","[c]","[c]","[c]"
