"Status","Year","Age","Function_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","30-39","Commercial","SEO/HEO","Unknown","25","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Communications","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Communications","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Communications","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Communications","EO","Heterosexual / straight","75","[c]","25540","25560"
"New entrant CS","2021","30-39","Communications","EO","LGBO","5","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Communications","EO","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Communications","EO","Unknown","105","[c]","25540","25560"
"New entrant CS","2021","30-39","Communications","G6/G7","Heterosexual / straight","20","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Communications","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Communications","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Communications","G6/G7","Unknown","15","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Communications","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Communications","SCS level","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Communications","SCS level","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Communications","SEO/HEO","Heterosexual / straight","60","[c]","35840","34550"
"New entrant CS","2021","30-39","Communications","SEO/HEO","LGBO","5","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Communications","SEO/HEO","Undeclared","5","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Communications","SEO/HEO","Unknown","55","[c]","35290","31810"
"New entrant CS","2021","30-39","Counter Fraud","EO","Heterosexual / straight","15","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Counter Fraud","EO","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Counter Fraud","EO","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Counter Fraud","EO","Unknown","15","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Counter Fraud","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Counter Fraud","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Counter Fraud","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Counter Fraud","SCS level","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Counter Fraud","SCS level","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Counter Fraud","SEO/HEO","Heterosexual / straight","5","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Counter Fraud","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
