"Status","Year","Function_of_post","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Finance","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Other Cabinet Office Agencies","Female","25","25","[c]","[c]"
"In post","2021","Finance","Other Cabinet Office Agencies","Male","35","35","48110","39500"
"In post","2021","Finance","Scottish Government","Female","135","130","35090","33650"
"In post","2021","Finance","Scottish Government","Male","55","50","33030","32890"
"In post","2021","Finance","The National Archives","Female","5","5","[c]","[c]"
"In post","2021","Finance","The National Archives","Male","5","5","[c]","[c]"
"In post","2021","Finance","UK Export Finance","Female","20","20","[c]","[c]"
"In post","2021","Finance","UK Export Finance","Male","25","25","[c]","[c]"
"In post","2021","Finance","UK Supreme Court","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Supreme Court","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","United Kingdom Statistics Authority","Female","35","30","31540","29540"
"In post","2021","Finance","United Kingdom Statistics Authority","Male","25","25","[c]","[c]"
"In post","2021","Finance","Wales Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Wales Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Water Services Regulation Authority","Female","5","5","[c]","[c]"
"In post","2021","Finance","Water Services Regulation Authority","Male","5","5","[c]","[c]"
"In post","2021","Finance","Welsh Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Welsh Government","Male","5","5","[c]","[c]"
"In post","2021","Grants Management","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Department for Environment, Food and Rural Affairs","Female","1090","950","25070","21050"
"In post","2021","Grants Management","Department for Environment, Food and Rural Affairs","Male","800","780","26120","24920"
"In post","2021","Grants Management","HM Land Registry","Female","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","HM Land Registry","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Attorney General's Departments","Female","155","150","40560","34400"
"In post","2021","Human Resources","Attorney General's Departments","Male","60","60","37900","31710"
"In post","2021","Human Resources","Cabinet Office","Female","735","690","39170","35590"
"In post","2021","Human Resources","Cabinet Office","Male","385","380","39200","35320"
"In post","2021","Human Resources","Chancellor's other departments","Female","15","15","[c]","[c]"
"In post","2021","Human Resources","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Charity Commission","Female","10","10","[c]","[c]"
"In post","2021","Human Resources","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Competition and Markets Authority","Female","30","25","[c]","[c]"
"In post","2021","Human Resources","Competition and Markets Authority","Male","10","10","[c]","[c]"
"In post","2021","Human Resources","Department for Business, Energy and Industrial Strategy","Female","300","280","39290","36100"
"In post","2021","Human Resources","Department for Business, Energy and Industrial Strategy","Male","105","100","42230","39820"
"In post","2021","Human Resources","Department for Digital, Culture, Media and Sport","Female","45","40","50890","40550"
"In post","2021","Human Resources","Department for Digital, Culture, Media and Sport","Male","20","20","[c]","[c]"
"In post","2021","Human Resources","Department for Education","Female","120","115","35030","30070"
"In post","2021","Human Resources","Department for Education","Male","35","35","40530","32210"
"In post","2021","Human Resources","Department for Environment, Food and Rural Affairs","Female","200","185","42870","38600"
"In post","2021","Human Resources","Department for Environment, Food and Rural Affairs","Male","65","65","42350","38420"
"In post","2021","Human Resources","Department for International Trade","Female","85","85","43770","38540"
"In post","2021","Human Resources","Department for International Trade","Male","40","40","42210","32120"
"In post","2021","Human Resources","Department for Transport","Female","295","275","36590","32730"
"In post","2021","Human Resources","Department for Transport","Male","125","125","36440","32930"
"In post","2021","Human Resources","Department for Work and Pensions","Female","60","55","36990","31710"
"In post","2021","Human Resources","Department for Work and Pensions","Male","25","25","[c]","[c]"
"In post","2021","Human Resources","Department of Health and Social Care","Female","220","215","42640","36820"
"In post","2021","Human Resources","Department of Health and Social Care","Male","70","70","43870","38790"
"In post","2021","Human Resources","ESTYN","Female","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","ESTYN","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Food Standards Agency","Female","25","20","[c]","[c]"
"In post","2021","Human Resources","Food Standards Agency","Male","10","10","[c]","[c]"
"In post","2021","Human Resources","Foreign, Commonwealth and Development Office","Female","205","195","41680","37300"
"In post","2021","Human Resources","Foreign, Commonwealth and Development Office","Male","75","75","48620","46760"
"In post","2021","Human Resources","HM Land Registry","Female","70","60","38190","33840"
"In post","2021","Human Resources","HM Land Registry","Male","25","25","[c]","[c]"
"In post","2021","Human Resources","HM Revenue and Customs","Female","1085","990","36060","31810"
"In post","2021","Human Resources","HM Revenue and Customs","Male","585","560","34720","31810"
"In post","2021","Human Resources","HM Treasury","Female","85","80","41050","37900"
"In post","2021","Human Resources","HM Treasury","Male","25","25","[c]","[c]"
"In post","2021","Human Resources","Ministry of Defence","Female","1555","1430","31350","26670"
"In post","2021","Human Resources","Ministry of Defence","Male","630","625","34750","30280"
"In post","2021","Human Resources","Ministry of Housing, Communities and Local Government","Female","65","65","39500","33210"
"In post","2021","Human Resources","Ministry of Housing, Communities and Local Government","Male","20","20","[c]","[c]"
"In post","2021","Human Resources","Ministry of Justice","Female","675","655","41330","36730"
"In post","2021","Human Resources","Ministry of Justice","Male","300","290","42520","39350"
"In post","2021","Human Resources","National Crime Agency","Female","115","105","40250","40060"
"In post","2021","Human Resources","National Crime Agency","Male","70","70","40030","38730"
"In post","2021","Human Resources","Northern Ireland Office","Female","5","5","[c]","[c]"
"In post","2021","Human Resources","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Office for Standards in Education","Female","35","35","40910","32010"
"In post","2021","Human Resources","Office for Standards in Education","Male","20","20","[c]","[c]"
"In post","2021","Human Resources","Office of Gas and Electricity Markets","Female","20","20","[c]","[c]"
"In post","2021","Human Resources","Office of Gas and Electricity Markets","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Office of Qualifications and Examinations Regulation","Female","5","5","[c]","[c]"
"In post","2021","Human Resources","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Office of Rail and Road","Female","10","5","[c]","[c]"
"In post","2021","Human Resources","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other Cabinet Office Agencies","Female","40","35","37490","32180"
"In post","2021","Human Resources","Other Cabinet Office Agencies","Male","10","5","[c]","[c]"
"In post","2021","Human Resources","Scotland Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Scotland Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Scottish Government","Female","205","190","34280","33650"
"In post","2021","Human Resources","Scottish Government","Male","105","105","33900","34710"
"In post","2021","Human Resources","The National Archives","Female","20","15","[c]","[c]"
"In post","2021","Human Resources","The National Archives","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","UK Export Finance","Female","15","15","[c]","[c]"
"In post","2021","Human Resources","UK Export Finance","Male","10","10","[c]","[c]"
"In post","2021","Human Resources","UK Supreme Court","Female","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","UK Supreme Court","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","United Kingdom Statistics Authority","Female","160","150","36200","31270"
"In post","2021","Human Resources","United Kingdom Statistics Authority","Male","55","55","39990","36030"
"In post","2021","Human Resources","United Kingdom Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Wales Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Wales Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Water Services Regulation Authority","Female","10","10","[c]","[c]"
"In post","2021","Human Resources","Water Services Regulation Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Welsh Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Welsh Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Department for Education","Female","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Department for Education","Male","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Department for Environment, Food and Rural Affairs","Female","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Department for Environment, Food and Rural Affairs","Male","[c]","[c]","[c]","[c]"
