"Status","Year","Disability","Organisation","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Charity Commission","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Project Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Project Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Security","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Security","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Commercial","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Commercial","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Commercial","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Finance","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Finance","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Human Resources","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Human Resources","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Human Resources","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Human Resources","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Knowledge and Information Management","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Knowledge and Information Management","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Knowledge and Information Management","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Legal","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Legal","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Legal","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Legal","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Operational Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Operational Delivery","AO","30","25","21950","22490"
"In post","2021","Declared disabled","Companies House","Operational Delivery","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Operational Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Operational Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Other","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Other","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Other","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Other","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Policy","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Policy","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Project Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Project Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Project Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Project Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Property","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Property","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Property","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Property","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Security","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Security","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Security","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Commercial","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Commercial","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Commercial","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Corporate Finance","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Corporate Finance","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Corporate Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Corporate Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Economics","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Economics","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Economics","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Economics","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Human Resources","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Human Resources","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Human Resources","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Human Resources","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Intelligence Analysis","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Intelligence Analysis","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Intelligence Analysis","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Intelligence Analysis","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Knowledge and Information Management","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Knowledge and Information Management","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Knowledge and Information Management","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Knowledge and Information Management","SEO","[c]","[c]","[c]","[c]"
