"Status","Year","Disability","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared non-disabled","Intelligence Analysis","G6","35","30","67460","68200"
"In post","2021","Declared non-disabled","Intelligence Analysis","G7","175","170","56780","57400"
"In post","2021","Declared non-disabled","Intelligence Analysis","HEO","590","575","34090","33300"
"In post","2021","Declared non-disabled","Intelligence Analysis","SCS level","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Intelligence Analysis","SEO","310","305","42420","42200"
"In post","2021","Declared non-disabled","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","AO","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","EO","35","35","28480","27030"
"In post","2021","Declared non-disabled","Internal Audit","G6","55","55","66720","64580"
"In post","2021","Declared non-disabled","Internal Audit","G7","100","95","54070","54130"
"In post","2021","Declared non-disabled","Internal Audit","HEO","125","120","34310","33530"
"In post","2021","Declared non-disabled","Internal Audit","SCS level","20","20","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","SEO","235","220","44260","43250"
"In post","2021","Declared non-disabled","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","International Trade","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","International Trade","EO","55","55","26990","26510"
"In post","2021","Declared non-disabled","International Trade","G6","105","105","63110","62170"
"In post","2021","Declared non-disabled","International Trade","G7","220","215","52820","51970"
"In post","2021","Declared non-disabled","International Trade","HEO","180","175","32550","32120"
"In post","2021","Declared non-disabled","International Trade","SCS level","70","70","83590","75570"
"In post","2021","Declared non-disabled","International Trade","SEO","150","145","39070","38540"
"In post","2021","Declared non-disabled","Knowledge and Information Management","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","AO","225","215","22160","21140"
"In post","2021","Declared non-disabled","Knowledge and Information Management","EO","335","320","26960","26670"
"In post","2021","Declared non-disabled","Knowledge and Information Management","G6","65","60","69430","67490"
"In post","2021","Declared non-disabled","Knowledge and Information Management","G7","210","200","53960","53130"
"In post","2021","Declared non-disabled","Knowledge and Information Management","HEO","400","385","33220","33300"
"In post","2021","Declared non-disabled","Knowledge and Information Management","SCS level","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","SEO","320","310","40860","40560"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Unknown","35","35","42450","39860"
